feature,chi2,pvalue
on deck,185.71766728077657,2.497496209937385e-19
dollars,185.4250892454538,2.7980254975736595e-19
the states,185.16856814466223,3.0909995621103393e-19
slopes,184.56337673482628,3.908964483131517e-19
late to,184.31235817235242,4.308494307292745e-19
dick,184.13989042257256,4.606321859709439e-19
president,183.90161726802816,5.051801201472856e-19
short cuts,183.47693288603602,5.954798227355132e-19
the peter,183.4028796889312,6.127961334479929e-19
tales from,182.96748645276932,7.252372433932906e-19
of sin,182.90350862753735,7.434072774768316e-19
agent,182.39670931893923,9.04312257227854e-19
san,181.6288082387832,1.2165189170117517e-18
anyhow,181.33153414138934,1.3643898062329432e-18
saxon,180.98830450174032,1.5575074135975197e-18
colonel wife,180.96526298408955,1.5714062867348507e-18
at de,180.72747818204266,1.7222564276211697e-18
ic the,180.19180381448354,2.1170102473711283e-18
great shadow,179.6510836516965,2.6068326601479907e-18
thomas,179.2603614000044,3.0295559440994542e-18
edward,178.85345335279186,3.542451011278195e-18
the flag,178.84128569207675,3.559051639297649e-18
of esq,178.36479040825847,4.27381374561146e-18
feet above,177.3394730619592,6.3332768105920535e-18
and farewell,177.07874475691972,6.99870372757286e-18
meadows,176.7321462608709,7.992215973255943e-18
said territory,176.44194224109813,8.931216873979469e-18
holland and,175.60913690847332,1.2280699277137062e-17
the personal,175.5163589939449,1.2723875710327826e-17
don,175.20935185316287,1.4307016836583373e-17
the cabin,174.69217615630552,1.742940236263383e-17
fruit,174.12848635291954,2.1609194569085786e-17
the king,174.04319526412704,2.232318289965481e-17
she could,173.63930163176255,2.603637599335568e-17
miscellaneous,172.94403594986676,3.3923505754330697e-17
persuasion,172.74024260434948,3.665714968711625e-17
forest,172.46581409563794,4.06877037068026e-17
by john,172.3231979017111,4.295348464723825e-17
of quiet,172.26891065059598,4.3848583041493554e-17
lakes,172.15068574862727,4.586264852408167e-17
ob,171.92043831994138,5.005311631542158e-17
ship,171.76564757938755,5.3082338478909326e-17
bunch,171.52325899600717,5.819638880683409e-17
ve,171.47650147956173,5.92379089077752e-17
on tower,171.45719123844964,5.967343642795372e-17
the teacher,170.9083173933941,7.347848985700275e-17
an he,170.70268665515414,7.943220317887624e-17
she,170.58910064010655,8.292426358460594e-17
tragedy of,170.17173976086175,9.711902746916381e-17
of david,169.85006750022225,1.096876424846036e-16
mainly,169.00213132868248,1.5112238763954268e-16
south africa,168.98833623817885,1.5191167664452495e-16
princess,168.98715197638347,1.5197962530433312e-16
you bet,168.39330895770854,1.901593704642638e-16
he de,168.33456477266483,1.9441962912235672e-16
the dwarf,168.25617766030626,2.0025268981264776e-16
bundle of,167.73516032944357,2.437036146843605e-16
you re,167.0529188388326,3.1507019125082685e-16
whilst,166.91733234588298,3.3155687045124715e-16
added the,166.81537626629006,3.4451706097221462e-16
toward,166.63608890258095,3.685412810752171e-16
maria,165.6632091983415,5.310888282991153e-16
for president,165.19862486954264,6.321732414632142e-16
valley op,165.1926204921541,6.335977328037026e-16
em,165.09652523995808,6.568349055032516e-16
national,165.08878256937592,6.587436840609676e-16
in china,164.99406294313852,6.82546105166445e-16
great exhibition,164.5001211049416,8.21246446661973e-16
voyages,164.31222372198474,8.810791611096891e-16
american,164.1865346220608,9.235032108059955e-16
the streams,163.7834351865879,1.0737521802145425e-15
daylight,163.6221049552301,1.140486368894697e-15
pine and,163.4197463916978,1.2300520682646718e-15
major,163.3080473416422,1.2824525084584448e-15
de do,162.77214348610903,1.566421385077692e-15
city,162.72080354733671,1.5967082053331525e-15
slavery in,162.54024104728745,1.7079270553784448e-15
ef,162.44996123170287,1.766391233168763e-15
of new,161.9330259760493,2.141576973579575e-15
committee,161.60324897981877,2.421302804412447e-15
whim and,161.56267827897454,2.4581347760813795e-15
chap iv,161.55131051359456,2.4685545207843248e-15
lieutenant,161.42275812581343,2.589487263889256e-15
stone face,161.37194630945862,2.6388958067874278e-15
sir henry,161.32011420693254,2.690262343644191e-15
the bunch,161.20767100583615,2.805138805315383e-15
the princess,160.66206365092654,3.4356574765063752e-15
region,160.55328462961165,3.577285496995293e-15
of trouble,160.38276407923794,3.811069098024608e-15
feelings,159.91862428832437,4.527205986698939e-15
ef he,159.9178851736941,4.5284469503536055e-15
tom,159.82094564228777,4.694172979774883e-15
peak,159.32577949589697,5.639535495493911e-15
forests of,159.31083122318012,5.670842141489199e-15
replied,159.04304146074648,6.261879987067648e-15
the boat,158.99924120308208,6.364215793538505e-15
half bound,158.8245139284806,6.789264744966947e-15
she had,158.8057280611407,6.836611671637591e-15
storms,158.61524441528877,7.335629383769619e-15
laws,158.5778101051838,7.43787348144532e-15
boat,158.28637445544547,8.283852641945359e-15
said knight,157.86011954702298,9.69626765665869e-15
the professor,157.62257590153462,1.0584720144334314e-14
tis,157.02204295765915,1.3208303850576041e-14
chinese and,156.95723344166862,1.3527508389871151e-14
mrs van,156.76008136520764,1.454643969161467e-14
an went,156.68112176603182,1.4975598267388484e-14
living room,156.59391043858838,1.5464244417932046e-14
folk in,156.2832582938987,1.733715520308728e-14
government,156.11009513884224,1.8477283951880542e-14
the tragedy,156.00995095149702,1.9170338763168615e-14
green flag,155.8899239348503,2.0035108386493066e-14
the earl,155.8649582279444,2.021979435913969e-14
the radical,155.5542193270441,2.2665128113632324e-14
main,155.53895671081804,2.279253226209204e-14
ireland,155.36507553997717,2.4295218301045058e-14
steamer,155.23687709703387,2.546578894458127e-14
virginia and,154.59822926615837,3.218665081459592e-14
daniel,154.3177343972225,3.5670035126999835e-14
my dear,154.30918275191087,3.578192329752594e-14
my readers,154.0994153625063,3.863837491404696e-14
chronicle,154.00629465483522,3.997797578003474e-14
herself,153.60617821270907,4.62790648699015e-14
any thing,153.59455150288582,4.6476214103635467e-14
the principal,153.4438672350492,4.9108071845601656e-14
trumpet major,153.03626608541435,5.699279011754132e-14
she ain,152.87483636065053,6.045246651089107e-14
the rev,152.8031063938783,6.205594912839761e-14
king,152.66655025445084,6.522627998631958e-14
the steamer,152.02775477922967,8.232945348850689e-14
vessel,151.4747482927393,1.0068879469938517e-13
to jane,150.29938135362397,1.543151973624243e-13
historian,150.16707181574083,1.6190068286654625e-13
the mist,149.97518309118269,1.7356448593777516e-13
philip,149.59189883748925,1.9941814716872123e-13
the major,149.51528113649442,2.05027634734052e-13
crew,148.73795121721923,2.7158959294400107e-13
grand council,148.69754823038346,2.7558336534259133e-13
elizabeth had,148.58405951531964,2.8711622828710563e-13
the peaks,148.48089025908598,2.980156566945398e-13
joseph,148.3284275801385,3.1487922186629665e-13
republican,147.71135680153887,3.9336997119390027e-13
cried,147.61789194962554,4.0684422068706476e-13
great peter,147.54480478158996,4.176991733002605e-13
rob,146.90115298147163,5.265973993673136e-13
tlie,146.74428848103318,5.571527352926198e-13
returned the,146.69565719739427,5.669782209816261e-13
hail and,146.1097631756107,6.997743616565096e-13
plain tales,145.8093473650371,7.794073294769772e-13
officer,145.6336127926693,8.300948817660101e-13
of van,145.44676899080608,8.87578623186124e-13
den,145.1297729024272,9.94280605865547e-13
colonel,144.96378001693887,1.0551375954099955e-12
the professors,144.94769437012258,1.061227920774513e-12
book ii,144.9462908499557,1.0617609717028705e-12
strange story,144.913051396025,1.0744631378640427e-12
george,144.89802893474166,1.0802532148136783e-12
knight,144.8280517672117,1.10763511659499e-12
free states,144.7570254721589,1.1361319312815646e-12
goin,144.69013061900137,1.1636360952159246e-12
the election,144.65465979856904,1.1784871707343402e-12
the deck,144.1946592972125,1.3890026495202158e-12
the captain,144.18163554567317,1.3954769831884567e-12
feet,144.15284983959367,1.409893302411751e-12
red lamp,143.86676602049334,1.5614498749011716e-12
lake,143.3631867900805,1.8685160420542173e-12
ice,143.13320920494562,2.028001756206199e-12
of italy,143.09440727791542,2.0562113319782323e-12
the trail,142.94556335271955,2.168081164431281e-12
the vessel,142.90537440770638,2.199308671272641e-12
assistant,142.63438688413987,2.4218406608628016e-12
and sword,142.54279212504767,2.5019986787434237e-12
dwarf,142.20277002495607,2.823269165069819e-12
feet in,141.907494187054,3.1352540860271774e-12
board,141.83127755521278,3.2211901771618406e-12
cry for,141.55250048416517,3.5558995104663566e-12
in holland,141.5180295578748,3.5996131924285175e-12
yes said,141.10104558282987,4.17257469560827e-12
in ireland,141.0339738093374,4.272826546572999e-12
amongst,141.0093939388168,4.310161134368475e-12
the century,140.99936224946276,4.325491176983508e-12
reverend mother,140.77581316743962,4.681496039962146e-12
my lord,140.76456275246937,4.700161194133523e-12
dam,140.61697631181792,4.951961345237668e-12
editor,140.53660456180262,5.094665876396675e-12
forces in,140.2637961979666,5.6101602578837115e-12
satan,139.96130797673752,6.2423823032800026e-12
of blue,139.6262395306254,7.025429959617537e-12
said jane,139.61409498902478,7.05557075890951e-12
he said,139.24632943983858,8.03162077650658e-12
fountains,138.5532641975469,1.0249020743375161e-11
adam,138.41931388921873,1.0742882851567706e-11
her,138.28406783954617,1.1265455273291996e-11
am sure,138.02200416193853,1.2350807338515554e-11
the adventures,137.7928677074595,1.3384345066514583e-11
said margaret,137.66376590249433,1.4003969640487057e-11
elizabeth was,137.14969950922767,1.67662112039668e-11
mr david,136.80792865606156,1.8895000899056304e-11
the crew,136.63332707530267,2.008382536352487e-11
sir john,136.61323160134117,2.022532194933665e-11
country by,136.34782876850116,2.2189438005386615e-11
upon the,136.13811377864013,2.387417021022357e-11
thou,136.06014651872815,2.4532332823335945e-11
the snow,135.89542015694505,2.598258652882017e-11
the murder,135.6640235942682,2.8164355473611817e-11
the cardinal,135.63264627338395,2.8473852361554862e-11
newspaper men,135.17579998662973,3.338105605321541e-11
branches,135.02590348616295,3.516704226762942e-11
the eighth,134.51297049112281,4.2025452028958405e-11
dear,134.0132508382286,4.997747161949653e-11
good hunting,133.90262889795048,5.193002940805181e-11
fort,133.78812333246776,5.4030744304403205e-11
boat on,133.65480378397757,5.658288226879935e-11
the lake,133.4608338155344,6.051072126066475e-11
tree,132.91658748853203,7.303255558679062e-11
said james,132.91653422404454,7.303389875522851e-11
to vote,132.80013998988707,7.602822931133978e-11
height of,132.7999460385285,7.603331896933875e-11
indian,132.5742679354487,8.219013484457515e-11
easy chair,132.26536894676653,9.142491105708371e-11
of noble,132.08956612721744,9.71320703562484e-11
the mountain,131.96906359971868,1.012463980786445e-10
the far,131.87183732328063,1.0469142241618496e-10
little brother,131.70796978165401,1.1076236217022685e-10
council,131.6366744225718,1.1351133806006946e-10
old home,131.58422324185304,1.1557676145600205e-10
radical,131.30439978882822,1.2724084748031157e-10
we re,131.30280660618078,1.2731048705661291e-10
principal,131.292607995079,1.2775717326225808e-10
mrs st,131.17554042176806,1.3299707180529972e-10
italy and,130.96992299358578,1.4272053123339617e-10
thb mill,130.89330906691075,1.465207792752525e-10
dr grant,130.80517766923057,1.5101636435638873e-10
oh,130.62415301329438,1.6068317387109997e-10
their marriage,130.61723528748374,1.610644924938746e-10
henry,130.50810573552255,1.671998365360372e-10
seeds,130.11742789725847,1.9112181661025043e-10
mr gray,129.87604068386742,2.0756473937198884e-10
to feet,129.7865972375652,2.1400668776691327e-10
lo,129.748028826486,2.1684518543403577e-10
to slavery,129.7224531726627,2.1874797977605886e-10
